episode,score,avg_score,epsilon,num_food
50,1,2.82,0.9497,49
100,1,3.56,0.8887,49
150,3,3.72,0.8305,48
200,2,4.5,0.7755,48
250,3,5.14,0.7206,47
300,6,4.96,0.6731,47
350,5,5.18,0.623,46
400,6,5.5,0.5793,46
450,2,5.98,0.5363,45
500,10,5.92,0.4966,44
550,5,6.36,0.4568,44
600,3,7.32,0.421,43
650,8,8.56,0.3811,43
700,7,9.48,0.3433,42
750,9,9.5,0.3099,42
800,23,9.5,0.279,41
850,8,12.14,0.2441,40
900,16,13.6,0.2114,40
950,23,15.68,0.1788,39
1000,7,19.2,0.1476,39
1050,11,22.7,0.1189,38
1100,47,24.6,0.0943,38
1150,17,31.08,0.0711,37
1200,19,42.42,0.05,36
1250,61,38.16,0.05,36
1300,90,46.3,0.05,35
1350,32,35.32,0.05,35
1400,80,38.98,0.05,34
1450,22,36.42,0.05,34
1500,42,37.46,0.05,33
1550,26,38.74,0.05,33
1600,82,41.08,0.05,32
1650,6,39.24,0.05,31
1700,56,33.26,0.05,31
1750,64,38.54,0.05,30
1800,13,35.32,0.05,30
1850,5,41.5,0.05,29
1900,37,37.64,0.05,29
1950,61,34.56,0.05,28
2000,24,32.58,0.05,28
2050,32,36.16,0.05,27
2100,14,33.18,0.05,26
2150,67,35.08,0.05,26
2200,6,30.6,0.05,25
2250,46,29.76,0.05,25
2300,10,26.5,0.05,24
2350,44,34.78,0.05,24
2400,29,30.32,0.05,23
2450,20,29.08,0.05,22
2500,56,31.1,0.05,22
2550,30,28.4,0.05,21
2600,29,31.64,0.05,21
2650,34,27.96,0.05,20
2700,17,24.34,0.05,20
2750,11,25.66,0.05,19
2800,15,24.3,0.05,19
2850,5,28.96,0.05,18
2900,15,24.92,0.05,17
2950,18,23.82,0.05,17
3000,59,22.22,0.05,16
3050,52,20.9,0.05,16
3100,30,20.26,0.05,15
3150,19,17.46,0.05,15
3200,6,17.72,0.05,14
3250,8,18.56,0.05,13
3300,15,17.52,0.05,13
3350,20,13.42,0.05,12
3400,5,14.4,0.05,12
3450,39,12.48,0.05,11
3500,6,11.34,0.05,11
3550,5,10.68,0.05,10
3600,16,9.28,0.05,10
3650,0,7.34,0.05,9
3700,7,6.74,0.05,8
3750,12,6.18,0.05,8
3800,3,5.0,0.05,7
3850,4,6.18,0.05,7
3900,19,5.34,0.05,6
3950,6,5.6,0.05,6
4000,1,3.58,0.05,5
4050,0,3.02,0.05,5
4100,1,2.96,0.05,5
4150,10,3.02,0.05,5
4200,4,1.36,0.05,5
4250,1,1.72,0.05,5
4300,3,2.08,0.05,5
4350,2,2.22,0.05,5
4400,1,2.56,0.05,5
4450,2,2.12,0.05,5
4500,5,1.46,0.05,5
4550,1,0.92,0.05,5
4600,0,1.14,0.05,5
4650,0,1.24,0.05,5
4700,1,1.16,0.05,5
4750,3,1.86,0.05,5
4800,2,2.02,0.05,5
4850,1,1.4,0.05,5
4900,0,2.14,0.05,5
4950,1,1.94,0.05,5
5000,0,2.64,0.05,5
